Target Station,MAE,RMSE,MAPE,R2_score,MDAPE
Target Station,MAE,RMSE,MAPE,R2_score,MDAPE
S0000099-Phu Vien.csv,29.804885456918083,34.405820666454645,294.6968065293766,0.5188444933297004,94.97715975548707
Target Station,MAE,RMSE,MAPE,R2_score,MDAPE
S0000099-Phu Vien.csv,44.59075961779152,54.105806896692165,505.98302497403733,0.42017553977933475,144.63752785836414
Target Station,MAE,RMSE,MAPE,R2_score,MDAPE
Target Station,MAE,RMSE,MAPE,R2_score,MDAPE
Target Station,MAE,RMSE,MAPE,R2_score,MDAPE
S0000099-Phu Vien.csv,12.663130445125457,22.918466570770526,46.52591234738148,0.8050830821188878,30.915198236764773
Target Station,MAE,RMSE,MAPE,R2_score,MDAPE
Target Station,MAE,RMSE,MAPE,R2_score,MDAPE
S0000099-Phu Vien.csv,25.303254424483463,29.730064089170536,272.45562473915226,0.6407363245129301,106.73776439713048
Target Station,MAE,RMSE,MAPE,R2_score,MDAPE
S0000099-Phu Vien.csv,27.742047488837652,34.74269826034662,265.6178262578009,0.5093760926728289,97.62572838522978
Target Station,MAE,RMSE,MAPE,R2_score,MDAPE
Target Station,MAE,RMSE,MAPE,R2_score,MDAPE
S0000099-Phu Vien.csv,47.37545322258302,50.3423637594885,613.4241337261363,-0.030122385010868502,140.67296142727494
Target Station,MAE,RMSE,MAPE,R2_score,MDAPE
S0000099-Phu Vien.csv,44.15929445827692,46.97143058164613,546.6128907366459,0.1032132297976246,117.90582274733038
Target Station,MAE,RMSE,MAPE,R2_score,MDAPE
Target Station,MAE,RMSE,MAPE,R2_score,MDAPE
Target Station,MAE,RMSE,MAPE,R2_score,MDAPE
S0000099-Phu Vien.csv,32.00937494855873,38.12454859612098,341.52635380741094,0.40921285305138366,103.03294515841328
