Target Station,MAE,RMSE,MAPE,R2_score,MDAPE
Target Station,MAE,RMSE,MAPE,R2_score,MDAPE
Target Station,MAE,RMSE,MAPE,R2_score,MDAPE
Target Station,MAE,RMSE,MAPE,R2_score,MDAPE
Target Station,MAE,RMSE,MAPE,R2_score,MDAPE
Target Station,MAE,RMSE,MAPE,R2_score,MDAPE
Target Station,MAE,RMSE,MAPE,R2_score,MDAPE
Target Station,MAE,RMSE,MAPE,R2_score,MDAPE
Target Station,MAE,RMSE,MAPE,R2_score,MDAPE
Target Station,MAE,RMSE,MAPE,R2_score,MDAPE
S0000499-Quang An.csv,5.176544,6.508458,70.83758115768433,0.5491670466659839,36.600154638290405
S0000328-Luong The Vinh.csv,3.1987684,4.209102,44.39672529697418,0.6416302751390133,30.52707314491272
S0000475-Chung cu A1 - KDT Ha Dinh.csv,12.746069,16.897484,51.96203589439392,0.6652235529820865,29.225412011146545
S0000554-Truong Mam Non Thuc hanh Hoa Hong.csv,4.668173,6.2972684,43.4963583946228,0.745032116734457,25.20313858985901
S0000346-Dinh Cong.csv,14.531722,19.5556,69.6738064289093,0.7316717320703174,29.889309406280518
S0000323-Ly Thuong Kiet.csv,2.7207735,3.6445813,33.36527645587921,0.8032409871049248,21.336643397808075
S0000144-Pham Tuan Tai.csv,3.25885,4.292114,34.29016470909119,0.7416984377041018,22.998082637786865
S0000099-Phu Vien.csv,3.8426497,4.9698677,41.9113427400589,0.7249040127504547,25.228333473205566
S0000318-Hoang Cau.csv,4.040246,4.9937105,47.129806876182556,0.7341530054140786,24.81989860534668
S0000533-Hang Thiec.csv,3.8526688,4.909292,49.75111484527588,0.7948141862220894,24.412578344345093
S0000229-Quan Hoa.csv,10.513324,13.501764,64.1062319278717,0.7938065095796432,25.270533561706543
S0000336-Truong THCS Nguyen Trai.csv,3.998579,5.5089054,49.266985058784485,0.6088785184527776,29.775872826576233
S0000399-Truong Mam non Thuc hanh Hoa Sen.csv,10.501355,14.533486,46.56586050987244,0.6796738768765971,27.031132578849792
S0000169-Ngoc Thuy.csv,8.732844,12.792756,39.52891826629639,0.6909124293633961,28.11146378517151
S0000343-Vinh Hung.csv,17.546267,25.159178,54.81749176979065,0.76287263979714,24.893859028816223
S0000319-Bat Trang.csv,6.5137362,8.922405,51.675957441329956,0.7671869744668737,24.397751688957214
S0000341-Ho Kim Lien.csv,19.337664,27.489826,47.458940744400024,0.7260819378476324,24.963021278381348
S0000352-Dai hoc Mo Dia Chat.csv,3.1279013,4.704737,32.136452198028564,0.7623043529593005,20.93712091445923
S0000509-Van Phu.csv,5.5774097,8.37182,34.46308076381683,0.7852349342650755,19.77802813053131
S0000171-GENESIS School.csv,9.498881,13.91773,46.19712233543396,0.7369097032503591,23.891672492027283
S0000595-Trung tam Sao Mai.csv,2.355677,3.266342,40.120577812194824,0.760430230324042,23.123925924301147
S0000541-Tran Quang Khai.csv,17.888254,23.697876,73.53024482727051,0.7125966388706577,30.006614327430725
S0000339-Kim Ma.csv,16.067446,21.530293,65.82378149032593,0.6984819549674532,30.719363689422607
S0000367-To Hieu.csv,3.8022676,5.242266,41.022735834121704,0.7543146547241861,25.411105155944824
S0000604-Trung Tam Van hoa The thao phuong Nghia Tan.csv,25.348352,34.514454,53.500545024871826,0.6775877137558983,28.93577814102173
S0000457-Nguyen Che Nghia.csv,8.384941,11.317925,41.68717563152313,0.6142351225345072,30.628791451454163
S0000157-Truong Mam non GCA Ecolife Capitol.csv,5.1077213,6.943615,40.83847403526306,0.2770476141599998,39.17954862117767
S0000331-Truong THCS Le Quy Don.csv,4.0899997,5.1881485,51.027655601501465,0.6620886904827121,28.35400700569153
S0000553-Thu vien Truong Cao dang Su pham Trung uong.csv,5.093685,6.472619,62.45265603065491,0.505167513946086,33.93126428127289
S0000262-Ly Thai To.csv,5.8136606,7.609829,53.271859884262085,0.47630360652346815,34.46919322013855
S0000368-Dai La.csv,4.9991784,6.5072193,47.254350781440735,0.587954535324799,31.31624162197113
S0000345-Doi Can.csv,5.272557,6.8662105,54.015517234802246,0.4905381425609767,33.680230379104614
S0000348- Cau Dien.csv,7.6174703,9.660735,68.41503977775574,0.4554798698873703,38.47395181655884
S0000400-Truong Spring Hill.csv,8.895432,11.301084,84.22544002532959,0.3343532561468555,42.278581857681274
S0000182-Truong THCS Trung Hoa.csv,10.149382,13.411551,74.38693642616272,0.03190864897426682,50.59184432029724
S0000347- Gamuda Gardens .csv,20.017513,26.362513,93.15798282623291,-0.2186084049160435,59.251201152801514
S0000264-FDS - Ton That Thuyet.csv,14.500511,19.047201,83.20044279098511,0.14108816927550372,47.19882011413574
S0000497-Chuyen My.csv,18.598213,24.137976,97.58251309394836,0.13356924145824678,50.37615895271301
Target Station,MAE,RMSE,MAPE,R2_score,MDAPE
Target Station,MAE,RMSE,MAPE,R2_score,MDAPE
S0000499-Quang An.csv,5.335858,7.568847,44.902873039245605,0.39029621186054486,35.29256880283356
S0000328-Luong The Vinh.csv,4.640433,6.185375,45.83127200603485,0.226100651485854,43.84068846702576
S0000475-Chung cu A1 - KDT Ha Dinh.csv,12.98128,17.259531,43.11220943927765,0.6507239487700195,32.01342821121216
S0000554-Truong Mam Non Thuc hanh Hoa Hong.csv,4.914121,6.7242503,33.34154784679413,0.7092841152961467,25.304710865020752
S0000346-Dinh Cong.csv,15.421294,20.783026,56.58690333366394,0.6969307989789421,28.13918888568878
S0000323-Ly Thuong Kiet.csv,3.005897,4.1887574,30.047747492790222,0.7400979184117682,22.40956723690033
