Target Station,MAE,RMSE,MAPE,R2_score,MDAPE
S0000499-Quang-An,31.284741394741534,38.293058103761254,262.48368741147254,-2.8787387878718875,69.52806369082016
S0000345-Doi-Can,42.85864095387449,53.43026002503193,557.3236480782556,-0.6067459440594916,51.88386933795335
S0000348-Cau-Dien,20.329767813857476,23.691904923038567,121.20269705189592,-0.2816544134226384,51.08101822446467
S0000099-Phu-Vien,28.144356473707436,33.19385815127688,155.67771276966144,-0.14365107581357317,51.8873271977571
S0000553-Thu-vien-Truong-Cao-dang-Su-pham-Trung-uong,13.680800513849492,16.95689937853157,96.10320079464185,-0.011753913594112708,40.602698145817016
